I,T,R,E,A,DE,DA,H,M
34 ,2 ,T,35 ,12 ,9 ,"12,198 ","4,851 ","8,161 "
34 ,2 ,D,26 ,8 ,10 ,"11,240 ",338 ,85 
34 ,2 ,S,15 ,28 ,7 ,"2,795 ","14,183 ","1,062 "
35 ,1 ,T,19 ,3 ,11 ,"12,744 ",0 ,"22,464 "
35 ,1 ,D,18 ,1 ,5 ,"9,596 ",0 ,0 
35 ,1 ,D,14 ,2 ,17 ,"8,583 ","1,116 ",0 
35 ,1 ,S,13 ,6 ,9 ,"6,356 ","10,715 ",319 
35 ,1 ,S,6 ,5 ,12 ,"3,072 ","9,568 ",24 
35 ,2 ,T,38 ,14 ,5 ,"13,498 ",0 ,"12,907 "
35 ,2 ,D,30 ,5 ,10 ,"13,776 ","1,490 ",0 
35 ,2 ,D,29 ,0 ,9 ,"9,628 ",216 ,964 
35 ,2 ,S,11 ,24 ,6 ,"3,302 ","8,780 ",0 
35 ,2 ,S,4 ,18 ,6 ,"2,311 ","16,262 ","1,201 "
36 ,1 ,T,1 ,1 ,6 ,"3,434 ",0 ,"3,929 "
36 ,1 ,D,2 ,1 ,3 ,"4,044 ",0 ,0 
36 ,1 ,D,0 ,0 ,5 ,"4,224 ",20 ,146 
36 ,1 ,S,0 ,1 ,1 ,247 ,"6,490 ",0 
36 ,1 ,S,1 ,0 ,4 ,"1,894 ","3,106 ",0 
36 ,2 ,T,10 ,2 ,1 ,"4,365 ",0 ,"4,292 "
36 ,2 ,S,4 ,8 ,1 ,781 ,"6,335 ",360 
36 ,2 ,D,15 ,0 ,0 ,"5,505 ",555 ,0 
36 ,2 ,D,10 ,1 ,0 ,"4,051 ",448 ,"3,305 "
36 ,2 ,S,11 ,12 ,0 ,"2,672 ","4,109 ",0 
37 ,1 ,T,7 ,1 ,5 ,"3,370 ",0 ,"3,979 "
37 ,1 ,D,2 ,0 ,2 ,"2,601 ",0 ,0 
37 ,1 ,D,6 ,2 ,6 ,"3,004 ",361 ,"1,818 "
37 ,1 ,S,6 ,4 ,4 ,"1,183 ","4,129 ",365 
37 ,2 ,D,16 ,1 ,4 ,"3,954 ",521 ,0 
