I,T,R,E,A,DE,DA,H,M
67,1,1,3,0,8,5917,767,150
67,1,1,3,1,10,4059,433,252
67,1,2,7,4,5,3379,6159,335
67,1,2,0,4,8,751,6075,113
68,0,0,19,1,6,9505,73,10075
68,0,1,20,11,1,7850,24,2177
68,0,1,28,0,9,9511,156,396
68,0,2,15,19,4,6315,7535,491
68,0,2,2,23,4,904,7011,0
68,1,0,9,3,6,5621,0,18697
68,1,1,15,2,11,8610,1311,1470
68,1,1,14,0,8,8236,0,109
68,1,2,3,13,8,1295,10903,141
68,1,2,5,10,7,1591,9304,769
69,0,0,22,2,6,10596,636,12954
69,0,1,23,6,4,9235,85,2202
69,0,1,29,0,10,12466,396,710
69,0,2,10,16,6,1944,8178,915
69,0,2,13,16,8,5071,8188,564
69,1,0,16,9,6,9069,1651,6569
69,1,1,15,6,12,6614,372,1057
69,1,1,20,6,8,8400,322,1728
69,1,2,13,17,4,3485,13814,0
69,1,2,11,11,7,4059,10291,157
70,0,0,40,18,8,14730,0,13583
70,0,1,30,6,8,9424,41,2975
70,0,1,44,0,14,13712,216,329
70,0,2,25,29,9,7697,17623,4938
70,0,2,12,23,10,2981,14238,981
70,1,0,23,1,10,13077,0,22625
70,1,1,26,1,15,11238,1773,0
70,1,1,25,4,15,15768,1460,0
70,1,2,22,20,8,6645,15713,51
70,1,2,7,16,10,3643,10970,739
71,0,0,28,5,5,14253,0,32061
71,0,1,21,3,16,10726,417,496
71,0,1,27,6,8,12403,0,0
