INDEX_1,INDEX_2,TEAM,ROLE,E,A,D,DMG,H,MIT
32,9,2,SUPPORT,15,21,8,5166,13437,701
32,10,2,TANK,27,1,8,11254,0,24067
33,1,1,TANK,14,1,10,12573,237,12662
33,2,1,DAMAGE,14,4,6,9367,29,2168
33,3,1,DAMAGE,17,2,8,11170,913,16
33,4,1,SUPPORT,16,14,8,3498,12687,108
33,5,1,SUPPORT,8,8,10,5105,7338,254
33,6,2,DAMAGE,25,0,9,12089,1059,713
33,7,2,SUPPORT,0,28,4,100,17667,0
33,8,2,SUPPORT,14,10,6,5867,7853,487
33,9,2,TANK,24,5,7,11265,0,15308
33,10,2,DAMAGE,29,0,3,10366,1104,0
34,1,1,TANK,24,4,11,14645,0,9540
34,2,1,DAMAGE,19,2,7,11453,0,0
34,3,1,DAMAGE,26,4,12,12646,285,1180
34,4,1,SUPPORT,8,13,14,4219,8645,640
34,5,1,SUPPORT,11,13,13,3362,7520,3219
34,6,2,SUPPORT,10,29,8,2940,12125,131
34,7,2,DAMAGE,29,9,8,10385,500,0
34,8,2,TANK,35,12,9,12198,4851,8161
34,9,2,DAMAGE,26,8,10,11240,338,85
34,10,2,SUPPORT,15,28,7,2795,14183,1062
35,1,1,TANK,19,3,11,12744,0,22464
35,2,1,DAMAGE,18,1,5,9596,0,0
35,3,1,DAMAGE,14,2,17,8583,1116,0
35,4,1,SUPPORT,13,6,9,6356,10715,319
35,5,1,SUPPORT,6,5,12,3072,9568,24
35,6,2,TANK,38,14,5,13498,0,12907
35,7,2,DAMAGE,30,5,10,13776,1490,0
35,8,2,DAMAGE,29,0,9,9628,216,964
35,9,2,SUPPORT,11,24,6,3302,8780,0
35,10,2,SUPPORT,4,18,6,2311,16262,1201
36,1,1,TANK,1,1,6,3434,0,3929
36,2,1,DAMAGE,2,1,3,4044,0,0
36,3,1,DAMAGE,0,0,5,4224,20,146
36,4,1,SUPPORT,0,1,1,247,6490,0
36,5,1,SUPPORT,1,0,4,1894,3106,0
36,6,2,TANK,10,2,1,4365,0,4292
36,7,2,SUPPORT,4,8,1,781,6335,360
36,8,2,DAMAGE,15,0,0,5505,555,0
36,9,2,DAMAGE,10,1,0,4051,448,3305
36,10,2,SUPPORT,11,12,0,2672,4109,0
37,1,1,TANK,7,1,5,3370,0,3979
37,2,1,DAMAGE,2,0,2,2601,0,0
37,3,1,DAMAGE,6,2,6,3004,361,1818
37,4,1,SUPPORT,6,4,4,1183,4129,365
37,5,1,,,,,,,
37,6,2,DAMAGE,16,1,4,3954,521,0
37,7,2,SUPPORT,8,7,1,1873,3086,0
37,8,2,DAMAGE,9,0,1,2690,0,0
37,9,2,TANK,10,0,2,4076,0,8644
37,10,2,SUPPORT,8,9,1,1559,4731,391
38,1,1,TANK,3,1,7,4470,0,6342
38,2,1,DAMAGE,6,1,4,4819,0,0
38,3,1,DAMAGE,5,1,6,3456,0,0
38,4,1,SUPPORT,2,4,7,867,7185,241
38,5,1,SUPPORT,5,4,2,2044,8100,1097
38,6,2,DAMAGE,16,3,1,7339,1186,0
38,7,2,TANK,13,1,2,6656,0,3427
38,8,2,DAMAGE,14,0,5,4331,0,926
38,9,2,SUPPORT,12,12,0,2538,6126,162
38,10,2,SUPPORT,9,6,1,4034,4950,0
39,1,1,TANK,17,8,13,13733,0,8494
39,2,1,DAMAGE,21,1,7,12625,0,0
39,3,1,DAMAGE,14,6,6,13033,0,0
39,4,1,SUPPORT,6,11,12,4741,7383,41
39,5,1,SUPPORT,4,14,7,1830,10453,260
39,6,2,SUPPORT,1,22,2,318,20316,495
39,7,2,TANK,26,6,5,14065,0,13570
39,8,2,DAMAGE,28,7,6,11276,0,0
39,9,2,SUPPORT,11,13,6,2829,12561,1196
39,10,2,DAMAGE,18,3,12,7701,888,73
40,1,1,TANK,26,6,9,11328,404,7941
40,2,1,DAMAGE,25,3,3,9085,0,0
40,3,1,DAMAGE,23,0,10,7656,0,369
40,4,1,SUPPORT,14,8,9,4667,9166,188
40,5,1,SUPPORT,14,22,12,4967,12401,0
40,6,2,SUPPORT,14,23,8,2887,11514,2319
40,7,2,TANK,27,6,7,12736,0,10146
40,8,2,DAMAGE,20,6,11,7034,38,253
40,9,2,SUPPORT,15,16,6,5438,10769,521
40,10,2,DAMAGE,21,1,9,9043,0,335
41,1,1,TANK,4,0,8,4150,0,6097
41,2,1,DAMAGE,4,0,3,3578,0,0
41,3,1,DAMAGE,3,0,9,4300,1161,0
41,4,1,SUPPORT,2,0,7,1627,3810,0
41,5,1,SUPPORT,3,4,9,2854,5721,0
41,6,2,DAMAGE,21,2,3,6506,257,0
41,7,2,SUPPORT,5,11,1,1203,5638,1124
41,8,2,SUPPORT,12,15,0,1878,6993,0
41,9,2,TANK,22,2,0,6968,0,12937
41,10,2,DAMAGE,22,0,4,5731,0,1721
42,1,1,TANK,13,2,4,6660,0,5375
42,2,1,DAMAGE,6,1,4,6681,0,0
42,3,1,DAMAGE,12,0,10,7276,706,0
42,4,1,SUPPORT,2,11,7,2172,5753,1026
42,5,1,SUPPORT,4,3,6,3253,5615,1670
42,6,2,SUPPORT,5,19,3,410,11613,478
42,7,2,TANK,18,8,3,6540,0,8456
42,8,2,DAMAGE,15,4,3,6364,0,0
42,9,2,SUPPORT,8,12,3,1818,6121,168
42,10,2,DAMAGE,23,0,6,7093,0,2359
43,1,1,TANK,31,7,13,13033,0,17261
43,2,1,DAMAGE,41,2,5,12755,0,0
43,3,1,DAMAGE,26,13,14,8495,390,2273
43,4,1,SUPPORT,24,29,11,6340,12049,2190
43,5,1,SUPPORT,16,17,12,3046,13562,1485
43,6,2,SUPPORT,22,25,9,7176,13134,935
