INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT
48,2,DAMAGE,6,0,7,4054,0,450
48,2,SUPPORT,5,6,10,1856,5567,131
48,2,DAMAGE,13,0,10,6033,773,0
49,1,TANK,29,3,5,15419,0,26129
49,1,DAMAGE,26,0,12,9653,0,2248
49,1,DAMAGE,30,0,6,14908,3353,0
49,1,SUPPORT,19,21,10,6340,9400,266
49,1,SUPPORT,0,34,7,72,19010,1262
49,2,DAMAGE,23,1,8,14820,326,0
49,2,SUPPORT,4,24,5,1436,14811,525
49,2,TANK,28,8,9,13868,608,12949
49,2,DAMAGE,27,2,12,13963,0,2728
49,2,SUPPORT,13,23,11,2418,13662,717
50,1,TANK,33,3,5,16210,3530,4429
50,1,DAMAGE,20,7,3,8287,108,3334
50,1,DAMAGE,28,2,3,10702,2282,0
50,1,SUPPORT,1,32,5,300,11394,1213
50,1,SUPPORT,18,24,5,4072,7968,374
50,2,DAMAGE,10,0,9,6728,0,500
50,2,DAMAGE,8,3,12,11141,1112,136
50,2,SUPPORT,12,8,3,6457,11564,0
50,2,SUPPORT,4,10,8,2089,9865,729
50,2,TANK,10,1,11,7706,0,17497
51,1,TANK,26,3,10,15565,0,10077
51,1,DAMAGE,15,0,9,9049,41,5116
51,1,DAMAGE,25,3,8,9748,2502,0
51,1,SUPPORT,9,13,9,2682,10817,662
51,1,SUPPORT,0,23,6,48,15254,1698
51,2,SUPPORT,8,17,6,2322,11849,463
51,2,DAMAGE,18,7,8,10633,0,0
51,2,TANK,28,3,6,14238,968,2283
51,2,DAMAGE,25,2,9,11231,946,2283
51,2,SUPPORT,17,22,9,6119,9399,0
52,1,TANK,38,8,5,13438,0,21994
52,1,DAMAGE,38,7,6,14521,2526,0
52,1,DAMAGE,37,0,13,10160,59,1991
52,1,SUPPORT,21,30,10,5948,8129,1401
52,1,SUPPORT,8,44,5,1256,13781,0
52,2,DAMAGE,16,5,12,9802,253,0
52,2,DAMAGE,16,0,12,9119,558,175
52,2,TANK,29,10,14,14491,0,19682
52,2,SUPPORT,9,17,10,1052,10671,1364
52,2,SUPPORT,14,15,12,3122,12682,631
53,1,TANK,36,3,6,11425,0,18862
53,1,DAMAGE,33,4,9,11017,3057,0
