INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
42,2,SUPPORT,5,4,1,2157,2302,0,WIN
42,2,SUPPORT,4,7,1,907,3421,131,WIN
43,1,TANK,23,8,10,13590,0,16185,LOSE
43,1,DAMAGE,24,0,12,10680,0,0,LOSE
43,1,DAMAGE,29,7,13,13283,135,0,LOSE
43,1,SUPPORT,7,19,3,1504,12051,245,LOSE
43,1,SUPPORT,22,15,9,7324,12269,0,LOSE
43,2,TANK,23,7,7,9551,1050,13385,WIN
43,2,DAMAGE,35,5,8,14040,0,0,WIN
43,2,DAMAGE,22,0,10,13109,515,166,WIN
43,2,SUPPORT,3,31,6,334,18468,0,WIN
43,2,SUPPORT,14,28,9,2978,11123,1805,WIN
44,1,TANK,5,1,6,6830,0,12037,LOSE
44,1,DAMAGE,3,0,5,6627,0,0,LOSE
44,1,DAMAGE,9,0,8,4226,0,0,LOSE
44,1,SUPPORT,5,5,4,1651,4369,388,LOSE
44,1,SUPPORT,3,1,5,2128,4418,146,LOSE
44,2,TANK,17,4,0,7688,0,6752,WIN
44,2,DAMAGE,13,1,4,3896,0,300,WIN
44,2,DAMAGE,17,2,5,3970,0,0,WIN
44,2,SUPPORT,5,15,2,358,11015,0,WIN
44,2,SUPPORT,12,11,3,2627,5491,426,WIN
45,1,TANK,29,3,4,14136,0,13567,LOSE
45,1,DAMAGE,29,0,7,11881,0,0,LOSE
45,1,DAMAGE,16,1,2,9094,219,77,LOSE
45,1,SUPPORT,2,24,7,264,11754,115,LOSE
45,1,SUPPORT,16,19,6,4752,7519,1244,LOSE
45,2,TANK,13,2,9,9090,0,4778,WIN
45,2,DAMAGE,14,0,10,9176,0,0,WIN
45,2,DAMAGE,9,3,7,10025,0,415,WIN
45,2,SUPPORT,2,10,7,564,10257,0,WIN
45,2,SUPPORT,0,14,7,433,9599,0,WIN
46,1,TANK,9,4,7,6852,0,5325,LOSE
46,1,DAMAGE,13,0,9,6793,0,0,LOSE
46,1,DAMAGE,18,2,14,7801,80,1050,LOSE
46,1,SUPPORT,10,13,8,2359,11670,962,LOSE
46,1,SUPPORT,5,11,14,3074,8687,1207,LOSE
46,2,TANK,35,1,4,13112,0,6756,WIN
46,2,DAMAGE,22,1,6,7965,369,1,WIN
46,2,DAMAGE,18,3,4,8824,0,2320,WIN
46,2,SUPPORT,15,16,6,4224,6099,3033,WIN
46,2,SUPPORT,13,22,6,3411,7952,253,WIN
47,1,TANK,24,4,9,14908,0,10602,LOSE
47,1,DAMAGE,17,0,5,9799,0,0,LOSE
47,1,DAMAGE,21,2,13,11357,1365,0,LOSE
47,1,SUPPORT,10,14,8,2911,9618,404,LOSE
47,1,SUPPORT,14,19,9,4820,10536,0,LOSE
47,2,TANK,27,7,5,15255,0,12732,WIN
47,2,DAMAGE,22,2,8,7876,0,0,WIN
47,2,DAMAGE,20,3,6,9414,304,351,WIN
47,2,SUPPORT,11,15,9,2579,11276,497,WIN
47,2,SUPPORT,6,17,9,2124,18972,279,WIN
48,1,TANK,3,0,4,2849,0,2753,LOSE
48,1,DAMAGE,5,0,2,3958,0,0,LOSE
48,1,DAMAGE,4,1,5,3096,0,96,LOSE
48,1,SUPPORT,0,2,2,1039,4908,0,LOSE
48,1,SUPPORT,1,1,5,1919,3984,0,LOSE
48,2,TANK,8,1,1,4259,0,6505,WIN
48,2,DAMAGE,10,1,3,5680,0,0,WIN
48,2,DAMAGE,12,0,3,4354,0,0,WIN
48,2,SUPPORT,3,4,0,1766,3645,500,WIN
48,2,SUPPORT,1,6,0,90,6564,124,WIN
49,1,TANK,19,4,6,8468,0,5540,LOSE
49,1,DAMAGE,16,0,5,6051,0,0,LOSE
