Battletag,Eliminations,Deaths,Assists,Damage,Healing,Mitigated,Result
GagA,14,5,3,9471,449,13895,Defeat
Insane,10,7,0,4977,0,0,Defeat
Pineapple,14,9,0,7612,0,0,Defeat
Farway2025,5,6,14,3251,11363,0,Defeat
HaoYoqian,11,8,8,4515,8558,2250,Defeat
JunBin,18,2,7,5726,0,4128,Victory
HeeSang,25,3,4,5655,0,0,Victory
LIP,23,1,3,5268,557,0,Victory
CH0R0NG,12,4,14,2724,2119,427,Victory
shu,16,2,12,3984,3286,241,Victory
cuFFa,3,8,0,3323,0,3803,Defeat
Lethal,8,6,1,6643,0,0,Defeat
zeruhh,6,6,0,3758,0,0,Defeat
Admiral,4,6,4,3044,3089,1140,Defeat
UltraViolet,8,7,3,3323,4564,0,Defeat
MAX,22,7,8,12763,465,19597,Defeat
HeeSang,26,9,2,15634,468,2484,Defeat
LIP,23,8,2,16485,0,0,Defeat
CH0R0NG,19,11,16,6473,16630,1851,Defeat
shu,13,8,30,7064,15775,303,Defeat
cuFFa,26,6,1,16928,168,13150,Victory
Lethal,24,8,0,16902,0,0,Victory
zeruhh,26,8,0,13485,603,4099,Victory
Admiral,18,9,25,6295,13571,10297,Victory
UltraViolet,9,8,23,5799,21199,0,Victory
JunBin,23,2,7,10411,0,4285,Defeat
HeeSang,23,5,0,7212,0,0,Defeat
LIP,14,8,0,8370,1284,0,Defeat
CH0R0NG,13,7,10,3533,5959,1245,Defeat
shu,8,6,10,3849,7499,759,Defeat
cuFFa,11,4,4,8888,914,13099,Victory
Lethal,19,10,0,9859,0,18,Victory
zeruhh,18,3,0,8436,0,0,Victory
Admiral,8,7,11,4456,7275,4496,Victory
UltraViolet,6,6,10,4339,8801,1363,Victory
cuFFa,38,11,10,21223,897,19782,Defeat
Lethal,29,12,0,15717,0,0,Defeat
zeruhh,39,6,0,14560,0,0,Defeat
Admiral,23,11,28,8534,15228,3069,Defeat
UltraViolet,24,9,39,10158,16674,0,Defeat
JunBin,35,13,14,19054,2480,27336,Victory
HeeSang,33,11,0,13565,0,0,Victory
LIP,30,14,0,13829,0,0,Victory
CH0R0NG,22,12,29,8839,14750,4619,Victory
shu,15,11,29,7037,18269,796,Victory
HanBin,22,3,14,7481,1466,9281,Victory
Proper,23,3,0,6643,12,438,Victory
Stalk3r,29,4,7,10851,174,0,Victory
ChiYo,16,2,16,2994,9948,0,Victory
Fielder,15,4,16,5004,5070,0,Victory
Guxue,10,6,2,8532,0,5857,Defeat
Leave,10,7,0,6260,360,708,Defeat
shy,7,10,0,7297,0,119,Defeat
Mew,8,8,7,3277,6673,3861,Defeat
Mmonk,9,4,8,1927,10771,0,Defeat
HanBin,22,8,7,11678,2370,27802,Defeat
Proper,18,9,0,16990,0,1456,Defeat
Stalk3r,16,12,3,16323,0,402,Defeat
ChiYo,12,7,20,3357,20278,707,Defeat
Fielder,16,8,17,7437,15052,4605,Defeat
Guxue,33,8,5,20679,0,22157,Victory
Leave,28,4,0,11305,0,0,Victory
shy,26,9,0,16384,0,0,Victory
Mew,18,4,23,9543,11297,4464,Victory
Mmonk,22,5,31,7171,19029,0,Victory
HanBin,12,9,10,8031,2534,5891,Defeat
Proper,15,6,3,8987,0,0,Defeat
Stalk3r,17,7,0,9406,0,0,Defeat
ChiYo,13,6,15,3043,10109,0,Defeat
Fielder,10,6,19,4482,6480,2028,Defeat
Guxue,21,5,11,10051,3306,4045,Victory
Leave,17,5,6,9206,0,0,Victory
