INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
67,1,TANK,12,7,3,4461,0,3607,VICTORY
67,1,DAMAGE,11,1,6,3685,0,0,VICTORY
67,1,DAMAGE,15,0,0,5461,0,50,VICTORY
67,1,SUPPORT,4,8,0,998,5863,219,VICTORY
67,1,SUPPORT,14,9,1,4386,3004,0,VICTORY
67,2,TANK,3,1,4,4033,0,9299,DEFEAT
67,2,DAMAGE,6,0,8,4340,0,0,DEFEAT
67,2,DAMAGE,7,0,6,3992,351,276,DEFEAT
67,2,SUPPORT,2,3,7,945,5097,48,DEFEAT
67,2,SUPPORT,0,7,4,356,5366,0,DEFEAT
68,1,TANK,37,9,3,11654,86,13456,VICTORY
68,1,DAMAGE,21,2,7,10480,0,714,VICTORY
68,1,DAMAGE,29,2,7,7492,0,254,VICTORY
68,1,SUPPORT,18,24,1,3028,18813,1638,VICTORY
68,1,SUPPORT,22,28,5,6832,11858,140,VICTORY
68,2,TANK,13,3,9,8922,0,22584,DEFEAT
68,2,DAMAGE,11,1,14,14389,0,41,DEFEAT
68,2,DAMAGE,14,2,10,15120,225,676,DEFEAT
68,2,SUPPORT,0,17,10,460,14261,0,DEFEAT
68,2,SUPPORT,4,7,10,3413,7968,1233,DEFEAT
69,1,TANK,21,3,6,11368,0,12270,VICTORY
69,1,DAMAGE,21,0,1,8722,0,0,VICTORY
69,1,DAMAGE,21,13,4,6968,1450,10,VICTORY
69,1,SUPPORT,13,17,6,4076,7705,1706,VICTORY
69,1,SUPPORT,1,22,4,67,12375,287,VICTORY
69,2,TANK,13,6,7,10209,605,3482,DEFEAT
69,2,DAMAGE,16,0,6,7791,85,0,DEFEAT
69,2,DAMAGE,12,1,6,8599,1172,1076,DEFEAT
69,2,SUPPORT,8,9,7,3448,9705,2549,DEFEAT
69,2,SUPPORT,2,13,3,304,8751,0,DEFEAT
70,1,TANK,15,4,2,4142,0,7194,VICTORY
70,1,DAMAGE,14,4,2,3846,0,0,VICTORY
70,1,DAMAGE,15,0,2,4124,0,200,VICTORY
70,1,SUPPORT,7,15,2,800,3277,62,VICTORY
70,1,SUPPORT,10,15,1,1268,4260,0,VICTORY
70,2,TANK,5,1,6,2373,0,0,DEFEAT
70,2,DAMAGE,6,0,4,2984,0,754,DEFEAT
70,2,DAMAGE,1,7,4,1754,2514,1234,DEFEAT
70,2,SUPPORT,2,2,3,858,2641,451,DEFEAT
70,2,SUPPORT,0,0,0,0,0,0,DEFEAT
71,1,TANK,41,15,9,13649,0,16818,VICTORY
71,1,DAMAGE,34,0,4,10867,0,0,VICTORY
71,1,DAMAGE,32,6,11,10645,1855,955,VICTORY
71,1,SUPPORT,15,31,7,4171,13327,112,VICTORY
71,1,SUPPORT,22,35,4,6590,17835,1978,VICTORY
71,2,TANK,21,3,9,13612,1477,13299,DEFEAT
71,2,DAMAGE,19,0,15,11064,272,84,DEFEAT
71,2,DAMAGE,22,2,11,13069,0,911,DEFEAT
71,2,SUPPORT,16,23,10,6779,11624,285,DEFEAT
71,2,SUPPORT,6,20,9,3402,14969,1023,DEFEAT
72,1,TANK,32,4,3,11926,0,9536,VICTORY
72,1,DAMAGE,19,0,2,9446,0,0,VICTORY
72,1,DAMAGE,25,4,5,11189,102,919,VICTORY
72,1,SUPPORT,12,23,3,3399,9065,501,VICTORY
72,1,SUPPORT,25,25,5,7053,10193,143,VICTORY
72,2,TANK,11,2,9,8767,2217,7874,DEFEAT
72,2,DAMAGE,9,1,11,8238,317,200,DEFEAT
72,2,DAMAGE,13,0,8,6706,592,206,DEFEAT
72,2,SUPPORT,3,10,9,1095,15764,844,DEFEAT
72,2,SUPPORT,1,3,10,3335,6402,0,DEFEAT
73,1,TANK,38,11,8,16851,0,13875,VICTORY
73,1,DAMAGE,35,0,5,11797,0,0,VICTORY
73,1,DAMAGE,29,7,10,12058,664,4480,VICTORY
73,1,SUPPORT,12,34,7,4085,13788,0,VICTORY
73,1,SUPPORT,12,25,10,2718,13221,233,VICTORY
73,2,TANK,23,3,10,12299,225,19328,DEFEAT
73,2,DAMAGE,30,0,12,14428,1635,364,DEFEAT
73,2,DAMAGE,26,0,11,11698,0,1046,DEFEAT
73,2,SUPPORT,3,28,9,2155,16608,0,DEFEAT
73,2,SUPPORT,7,23,13,2036,10941,712,DEFEAT
74,1,TANK,35,7,5,10367,0,14003,VICTORY
74,1,DAMAGE,22,0,3,6491,0,0,VICTORY
74,1,DAMAGE,28,6,9,11447,2180,0,VICTORY
